profile,mode,arm,n,unauthorised_n,positive_control_n,unauthorised_raw_canary,unauthorised_delivered_canary,unauthorised_raw_protected_leak,unauthorised_delivered_protected_leak,unauthorised_poison_retrieved,unauthorised_canary_model_visible,guard_context_quarantined,guard_answer_artifact_detected,guard_actions,positive_control_success,positive_control_accuracy_error
workflow_follow_v1,secure_rag_mode,arm_A_guard_off,225,150,75,150,150,0,0,150,150,0,0,"{""not_checked"":225}",0,75
workflow_follow_v1,secure_rag_mode,arm_B_guard_on,225,150,75,0,0,0,0,150,0,225,0,"{""allow"":225}",0,75
workflow_follow_v1,sensitivity_eval_mode,arm_A_guard_off,225,150,75,150,150,0,0,150,150,0,0,"{""not_checked"":225}",0,75
workflow_follow_v1,sensitivity_eval_mode,arm_B_guard_on,225,150,75,145,0,0,0,150,150,0,220,"{""allow"":5,""redact_artifact"":220}",0,75
